film_id,titre,titre_normalise,genre_principal,nb_seances,nb_salles,lieux_ids,image_url,notes
F0001,Spider-Man: Brand New Day,spider-man-brand-new-day,fiction,384,11,L137|L138|L139|L140|L142|L143|L144|L145|L146|L147|L148,https://fr.web.img5.acsta.net/img/cd/90/cd90255ae37ff659dab73bd1c422c9b5.jpg,auto (384 séances / 11 salles)
F0002,L'Odyssée,lodyssee,fiction,331,14,L125|L126|L137|L138|L139|L140|L141|L142|L143|L144|L145|L146|L147|L148,https://fr.web.img6.acsta.net/img/a7/70/a770a3822c90a655af05961cda53f3a1.jpg,auto (331 séances / 14 salles)
F0003,Fjord,fjord,fiction,274,10,L125|L126|L127|L128|L137|L142|L143|L144|L146|L147,https://fr.web.img5.acsta.net/img/7d/a3/7da334b5a024f1960d11cefab25107bc.jpg,auto (274 séances / 10 salles)
F0004,Tombé du ciel,tombe-du-ciel,animation_jeune_public,255,10,L137|L138|L139|L140|L142|L144|L145|L146|L147|L148,https://fr.web.img5.acsta.net/img/78/a7/78a70db88122966584f6dd674da06a6d.jpg,auto (255 séances / 10 salles)
F0005,The Dog Stars,the-dog-stars,fiction,242,7,L137|L138|L139|L140|L142|L144|L147,https://fr.web.img3.acsta.net/img/49/53/4953b0ca2f415faf7afb40c6cf9c1cf5.jpg,auto (242 séances / 7 salles)
F0006,La fin d’Oak Street,la-fin-doak-street,fiction,207,11,L125|L137|L138|L139|L140|L142|L144|L145|L146|L147|L148,https://fr.web.img6.acsta.net/img/2b/1b/2b1bc2ebbf00d185baa83a18177317c6.jpg,auto (207 séances / 11 salles)
F0007,Tad l'explorateur et la lampe magique,tad-lexplorateur-et-la-lampe-magique,animation_jeune_public,157,8,L137|L138|L139|L140|L142|L144|L147|L148,https://fr.web.img2.acsta.net/img/7a/89/7a89c362c3c4180669ce471a947d2f70.jpg,auto (157 séances / 8 salles)
F0008,La Pat' Patrouille : Le film mission Dino,la-pat-patrouille-le-film-mission-dino,animation_jeune_public,156,11,L137|L138|L139|L140|L142|L143|L144|L145|L146|L147|L148,https://fr.web.img6.acsta.net/img/bb/35/bb358019448f4fcd5c37b0d19c04fd0d.jpg,auto (156 séances / 11 salles)
F0009,Soudain,soudain,fiction,134,11,L125|L126|L128|L137|L141|L143|L144|L145|L146|L147|L148,https://fr.web.img6.acsta.net/img/3e/42/3e425c3916d4f282734535c052079c8b.jpg,auto (134 séances / 11 salles)
F0010,Insidious : l'invasion du lointain,insidious-linvasion-du-lointain,fiction,129,6,L137|L138|L139|L140|L144|L147,https://fr.web.img5.acsta.net/img/ec/35/ec35f784920486fc0e3ff35b7aa4fc41.jpg,auto (129 séances / 6 salles)
F0011,De la Comédie-Française,de-la-comedie-francaise,fiction,115,12,L125|L126|L128|L137|L138|L142|L143|L144|L145|L146|L147|L148,https://fr.web.img2.acsta.net/img/9c/4d/9c4daa6e94f7107c83f7d732700c44a0.jpg,auto (115 séances / 12 salles)
F0012,L'Inconnue,linconnue,fiction,104,6,L125|L126|L127|L128|L137|L143,https://fr.web.img3.acsta.net/img/af/a2/afa2a4e9bb49e003bceb86c209f46033.jpg,auto (104 séances / 6 salles)
