event_id|programme_id|artiste_id|image_url|alt|credit|licence
E060|||https://www.theatredupontneuf.fr/wp-content/uploads/2026/05/Design-sans-titre-1.png|Tentative de Réunification Coréenne par l'Amour, la Caresse… et l'Argent — Théâtre du Pont Neuf|Théâtre du Pont Neuf (theatredupontneuf.fr)|Droits réservés — usage éditorial source lieu
E072|||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-763_11.jpg|Bérengère Krief — Sexe — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E074|||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-756_4.jpg|Burlesk — Les Demoiselles du K-Barré — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E098|||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-302_16.jpg|Impro Late Show — La Troupe de Trio d'Impro — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E370|||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-302_16.jpg|Impro Late Show — La Troupe de Trio d'Impro — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E371|||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-756_4.jpg|Burlesk — Les Demoiselles du K-Barré — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E372|||https://www.lacomediedetoulouse.com/media/data/spectacles/images/affiche-763_11.jpg|Bérengère Krief — Sexe — La Comédie de Toulouse|La Comédie de Toulouse (lacomediedetoulouse.com)|Droits réservés — usage éditorial source lieu
E399|||https://theatrelefilaplomb.fr/wp-content/uploads/2026/07/Logo-Souk-Ace-Dance-One-Man-Band.png|One Man Band — Souk Ace Dance — Théâtre le Fil à Plomb|Théâtre Le Fil à plomb (theatrelefilaplomb.fr)|Droits réservés — usage éditorial source lieu
E634|||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-10.png|Transit — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E635|||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-11.jpg|Amareia en concert — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E638|||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-18.png|Le Cœur battant — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E639|||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-19.png|Divagueries sentimentales — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E719|||https://theatredepochetoulouse.fr/wp-content/uploads/2026/08/affiche-theatre-de-poche-2026.jpg|Et pendant ce temps, Simone veille — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
E720|||https://theatredepochetoulouse.fr/wp-content/uploads/2026/07/2026-09-16-17.png|Les Dents du Rire — Théâtre de Poche|Théâtre de Poche (theatredepochetoulouse.fr)|Droits réservés — usage éditorial source lieu
