event_id|programme_id|artiste_id|image_url|alt|credit|licence|notes
E021|||https://cdn.sanity.io/images/rf3cqo3h/production/cb3c2e3b480d19897935aa70103c5c5de630da47-1320x900.png|Rampage x Poney Club — Poney Club|Le Bikini / Poney Club (lebikini.com / Sanity CDN)|Droits réservés — usage éditorial source lieu|Visuel événement Sanity page Rampage ; 1320×900 landscape ; HTTPS 200
E053|||https://cdn.sanity.io/images/rf3cqo3h/production/5531d18a576e2e575ea772a76ee4de61fe07d768-1320x900.png|A5KM + Creeds + Evil Grimace + Neika — Le Bikini|Le Bikini (lebikini.com / Sanity CDN)|Droits réservés — usage éditorial source lieu|Visuel Karnage Summer Club / A5KM+Creeds programmation Bikini ; 1320×900 landscape ; HTTPS 200
E054|||https://cdn.sanity.io/images/rf3cqo3h/production/60e646de8ed3ebb53f2291317d23a990e67900d9-1320x900.png|Unfaced : JACIDOREX + PART TIME KILLER + DJ CRINGEY + DANKE AL — Le Bikini|Le Bikini (lebikini.com / Sanity CDN)|Droits réservés — usage éditorial source lieu|Visuel Unfaced / JACIDOREX programmation Bikini ; 1320×900 landscape ; HTTPS 200
E055|||https://cdn.sanity.io/images/rf3cqo3h/production/699911e8e0e27c408c898fb1297c2f638a4d551c-5000x4240.jpg|The Young Gods — Le Bikini|Le Bikini (lebikini.com / Sanity CDN)|Droits réservés — usage éditorial source lieu|og:image page The Young Gods ; 5000×4240 landscape ; HTTPS 200
E028|||https://www.lerextoulouse.com/media/data/spectacles/images/slider-1544.jpg|REX TECHNO OPENING x PLEIN PHARE — Le Rex|Le Rex Toulouse (lerextoulouse.com)|Droits réservés — usage éditorial source lieu|Slider spectacle REX TECHNO OPENING x PLEIN PHARE ; 980×525 landscape ; HTTPS 200
E029|||https://www.lerextoulouse.com/media/data/spectacles/images/slider-1545.jpg|Hortense de Beauharnais All Night Long — Le Rex|Le Rex Toulouse (lerextoulouse.com)|Droits réservés — usage éditorial source lieu|Slider spectacle Hortense de Beauharnais ; 980×525 landscape ; HTTPS 200
E030|||https://www.lerextoulouse.com/media/data/spectacles/images/slider-1539.jpg|Le Rex fête ses 10 ans — Le Rex|Le Rex Toulouse (lerextoulouse.com)|Droits réservés — usage éditorial source lieu|Slider spectacle Le Rex fête ses 10 ans ; 980×525 landscape ; HTTPS 200
E031|||https://www.lerextoulouse.com/media/data/spectacles/images/slider-1540.jpg|Noise Party : Mourir & Urge — Le Rex|Le Rex Toulouse (lerextoulouse.com)|Droits réservés — usage éditorial source lieu|Slider spectacle Noise Party Mourir & Urge ; 980×525 landscape ; HTTPS 200
E032|||https://www.lerextoulouse.com/media/data/spectacles/images/slider-1378.jpg|Einar Solberg & Guest — Le Rex|Le Rex Toulouse (lerextoulouse.com)|Droits réservés — usage éditorial source lieu|Slider spectacle Einar Solberg & Guest ; 980×525 landscape ; HTTPS 200
EHG004|||https://www.lamaisondelaterre.fr/wp-content/uploads/2026/07/Deeplodocus.jpg|Le Banquet de l'été : Deeplodocus — Maison de la Terre|Maison de la Terre (lamaisondelaterre.fr)|Droits réservés — usage éditorial source lieu|og:image page concert Deeplodocus ; 1200×627 landscape ; HTTPS 200
