artiste_id|url_photo|alt|credit|licence
A0078|https://upload.wikimedia.org/wikipedia/commons/b/b1/Aya_Nakamura_IMG_4756_%28cropped%29.jpg|Aya Nakamura|Mathis.aclr / Wikimedia Commons|CC0 1.0
A0117|https://upload.wikimedia.org/wikipedia/commons/e/ed/DJS-Presskit05.jpg|DJ Snake|Arno Partissimo / Wikimedia Commons|CC BY-SA 4.0
A0046|https://upload.wikimedia.org/wikipedia/commons/9/99/P2N2022Macklemore_1.jpg|Macklemore|Selbymay / Wikimedia Commons|CC BY-SA 4.0
A0049|https://upload.wikimedia.org/wikipedia/commons/5/58/2016_Open_Beatz_-_Lost_Frequencies_-_by_2eight_-DSC_5232.jpg|Lost Frequencies|Stefan Brending ( 2eight ) / Wikimedia Commons|CC BY-SA 3.0
A0103|https://upload.wikimedia.org/wikipedia/commons/c/c7/GRANDm%C3%A9dine.jpg|Médine|ThoMind / Wikimedia Commons|CC BY-SA 4.0
A0043|https://upload.wikimedia.org/wikipedia/commons/e/e9/DISIZ.jpg|Disiz|Real_Jayci / Wikimedia Commons|CC BY-SA 4.0
A0080|https://upload.wikimedia.org/wikipedia/commons/8/8f/Kungs_in_interview_with_Dance_FM.png|Kungs|Dance FM / Wikimedia Commons|CC BY 3.0
A0082|https://upload.wikimedia.org/wikipedia/commons/a/ab/Pendulum_Live_Electric_2007.jpg|Pendulum|wonker from London, United Kingdom / Wikimedia Commons|CC BY-SA 2.0
A0022|https://upload.wikimedia.org/wikipedia/commons/b/b2/JDP25_Ben_l%27Oncle_Soul.jpg|Ben l'Oncle Soul|MFonzatti / Wikimedia Commons|CC BY-SA 4.0
A0039|https://upload.wikimedia.org/wikipedia/commons/e/eb/Franglish_Venoge_Festival_2025.jpg|Franglish|Apocam / Wikimedia Commons|CC BY-SA 4.0
A0031|https://upload.wikimedia.org/wikipedia/commons/e/eb/Festival_des_Vieilles_Charrues_2022_-_Lujipeka_-_015.jpg|Lujipeka|Fab_Photo_29 / Wikimedia Commons|CC BY-SA 2.0
A0115|https://upload.wikimedia.org/wikipedia/commons/3/30/NDLE2023Josman_1.jpg|Josman|Selbymay / Wikimedia Commons|CC BY-SA 4.0
A0063|https://upload.wikimedia.org/wikipedia/commons/7/73/ElGrandeToto2-683x1024.jpg|ElGrandeToto|toto / Wikimedia Commons|CC BY-SA 4.0
A0126|https://upload.wikimedia.org/wikipedia/commons/0/03/BOS-_Perianes12.jpg|Javier Perianes|Quincena Musical / Wikimedia Commons|CC BY 2.0
A0141|https://upload.wikimedia.org/wikipedia/commons/7/74/Pierre-Laurent_Aimard_2014-09_B.jpg|Pierre-Laurent Aimard|A.Savin / Wikimedia Commons|CC BY-SA 3.0
A0149|https://upload.wikimedia.org/wikipedia/commons/d/d9/Hellfest2019TheYoungGods_08.jpg|The Young Gods|Selbymay / Wikimedia Commons|CC BY-SA 4.0
A0008|https://upload.wikimedia.org/wikipedia/commons/8/8d/Montreuil_-_Salon_du_livre_jeunesse_2011_-_Anne_Roumanoff_-_001.jpg|Anne Roumanoff|Thesupermat / Wikimedia Commons|CC BY-SA 3.0
A0018|https://upload.wikimedia.org/wikipedia/commons/a/a9/Fabien_Olicard_en_2023.png|Fabien Olicard|VL. / Wikimedia Commons|CC BY 3.0
A0024|https://upload.wikimedia.org/wikipedia/commons/a/a4/Bakermat_image.jpg|Bakermat|ZelTroy / Wikimedia Commons|CC BY-SA 4.0
A0040|https://upload.wikimedia.org/wikipedia/commons/3/3c/Na%C3%AFka_at_the_2026_Cannes_Film_Festival-65074.jpg|Naïka|Harald Krichel / Wikimedia Commons|CC0 1.0
A0048|https://upload.wikimedia.org/wikipedia/commons/d/d1/Mosimann_%C3%A0_Estival_Open_Air.png|Mosimann|Samuel Bouverat / Wikimedia Commons|Domaine public
