event_id|programme_id|image_url|alt|credit|licence
E012||https://www.lesabattoirs.org/wp-content/uploads/2026/02/biomimetisme-expo-1920x0-c-default.jpg|Expositions Les Abattoirs — À l’écoute du vivant|Les Abattoirs Musée - Frac Occitanie Toulouse (lesabattoirs.org)|Droits réservés — usage éditorial source lieu
E050||https://quaidessavoirs.toulouse-metropole.fr/wp-content/uploads/sites/13/2023/10/Engrenages-min-scaled-1.jpg|Exposition permanente Quai des Savoirs|Quai des Savoirs / Toulouse Métropole (quaidessavoirs.toulouse-metropole.fr)|Droits réservés — usage éditorial source lieu
E026||https://cdn.sanity.io/images/rf3cqo3h/production/bcaae208143404137ef5bc28a890ebb1808be23e-5464x3640.jpg?w=1600|Petit Bikini — saison guinguette|Le Bikini / lebikini.com (CDN Sanity)|Droits réservés — usage éditorial source lieu
E007||https://monuments.toulouse.fr/wp-content/uploads/sites/14/2026/06/image00001-1-scaled.jpeg|Saison musicale Chapelle des Carmélites|Monuments de Toulouse (monuments.toulouse.fr)|Droits réservés — usage éditorial source lieu
E002||https://metropole.toulouse.fr/sites/toulouse-fr/files/2025-05/772x460-ebdl-actu.jpg|Un été au bord du lac Reynerie|Toulouse Métropole (metropole.toulouse.fr)|Droits réservés — usage éditorial source lieu
E004b||https://www.halledelamachine.fr/wp-content/uploads/2026/06/image-paysage-affiche-hdl-2026-scaled.jpeg|Halle Day Long / Aéroflorale II — Halle de la Machine|Halle de la Machine (halledelamachine.fr)|Droits réservés — usage éditorial source lieu
E004||https://www.halledelamachine.fr/wp-content/uploads/2026/06/HNL-2026-muet-paysage-pour-site-scaled-e1782281847910.png|Halle Night Long 2026 — Halle de la Machine|Halle de la Machine (halledelamachine.fr)|Droits réservés — usage éditorial source lieu
E390||https://www.cave-poesie.com/wp-content/uploads/2026/06/site-web-6.jpg|EN BAL ET VOUS ! — Astor et la Patronne — Cave Poésie René-Gouzenne|Cave Poésie René-Gouzenne (cave-poesie.com)|Droits réservés — usage éditorial source lieu
E048||https://racines-guinguette.fr/wp-content/uploads/2026/05/soleil_racines_food.png|Racines — saison Port Viguerie|Racines Guinguette (racines-guinguette.fr)|Droits réservés — usage éditorial source lieu
E049||https://images.squarespace-cdn.com/content/v1/68120ea55a49f0360b3721e3/1b0478fe-9944-41d2-93c6-75937dcfc11b/DSC00042.jpg?format=1500w|La Centrale — saison Île du Ramier|La Centrale (lacentralerestaurant.fr / Squarespace CDN)|Droits réservés — usage éditorial source lieu
