lieu_id,nom,label_affiche,type,adresse,commune,dist_km_capitole,site_web,url_programmation,notes
L001,Centre culturel Bellegarde,Toulouse — Centre culturel Bellegarde,centre_culturel,,Toulouse,0.8,https://metropole.toulouse.fr/annuaire/centre-culturel-bellegarde,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L002,Centre culturel Saint-Cyprien,Toulouse — Centre culturel Saint-Cyprien,centre_culturel,,Toulouse,1.5,https://metropole.toulouse.fr/annuaire/centre-culturel-saint-cyprien,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L003,Centre culturel Bonnefoy,Toulouse — Centre culturel Bonnefoy,centre_culturel,,Toulouse,2,https://metropole.toulouse.fr/annuaire/centre-culturel-bonnefoy,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L004,Centre culturel Théâtre des Mazades,Toulouse — Centre culturel Théâtre des Mazades,centre_culturel,,Toulouse,2.5,https://metropole.toulouse.fr/annuaire/centre-culturel-theatre-des-mazades,https://centresculturels.toulouse.fr/list/events,scrape 24/08/2026: vide (pas de spectacle daté trouvé) | 0 pièces / 0 rép. |  | https://metropole.toulouse.fr/annuaire/centre-culturel-theatre-des-mazades | url_programmation manquante
L005,Centre culturel Espace JOB,Toulouse — Centre culturel Espace JOB,centre_culturel,,Toulouse,3,https://metropole.toulouse.fr/annuaire/centre-culturel-espace-job,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L006,Centre culturel La Brique Rouge,Toulouse — Centre culturel La Brique Rouge,centre_culturel,,Toulouse,3,https://metropole.toulouse.fr/annuaire/centre-culturel-la-brique-rouge,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L007,Centre culturel Henri-Desbals,Toulouse — Centre culturel Henri-Desbals,centre_culturel,,Toulouse,4,https://metropole.toulouse.fr/annuaire/centre-culturel-henri-desbals,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L008,Centre culturel Renan,Toulouse — Centre culturel Renan,centre_culturel,,Toulouse,4,https://metropole.toulouse.fr/annuaire/centre-culturel-renan,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L009,Centre culturel Soupetard,Toulouse — Centre culturel Soupetard,centre_culturel,,Toulouse,4,https://metropole.toulouse.fr/annuaire/centre-culturel-soupetard,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L010,Centre culturel Alban-Minville,Toulouse — Centre culturel Alban-Minville,centre_culturel,,Toulouse,6,https://metropole.toulouse.fr/annuaire/centre-culturel-alban-minville,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L011,Centre culturel Reynerie,Toulouse — Centre culturel Reynerie,centre_culturel,,Toulouse,6,https://metropole.toulouse.fr/annuaire/centre-culturel-reynerie,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L012,Centre culturel Bordeblanche,Toulouse — Centre culturel Bordeblanche,centre_culturel,,Toulouse,7,https://metropole.toulouse.fr/annuaire/centre-culturel-bordeblanche,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L013,Centre culturel Saint-Simon,Toulouse — Centre culturel Saint-Simon,centre_culturel,,Toulouse,8,https://metropole.toulouse.fr/annuaire/centre-culturel-saint-simon,https://centresculturels.toulouse.fr/list/events,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | url_programmation manquante
L020,Espace Roguet,Toulouse — Espace Roguet,mjc,,Toulouse,2,https://www.mjcroguet.fr/,https://culture.haute-garonne.fr/contacts/espace-roguet,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | scrape: pas de spectacle public daté 24/08–23/09 | url_prog culture CD31 2026-08-24
L021,Centre culturel des Minimes,Toulouse — Centre culturel des Minimes,mjc,,Toulouse,2,https://www.centrecultureldesminimes.fr/,https://www.centrecultureldesminimes.fr/page/3997919-activite-2026-2027,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | site down/inaccessible ; url_programmation manquante | scrape: pas de spectacle public daté 24/08–23/09 | url_find 2026-09-01: upgrade (medium) — Site e-monsite UP (plus down). /agenda exige login. Page saison « ACTIVITE 2026 / 2027 » HTTP 200. Pages mensuelles type /page/3948060-septembre-2026 existent mais souvent vides ho
L022,MJC Ponts-Jumeaux,Toulouse — MJC Ponts-Jumeaux,mjc,,Toulouse,2.5,https://mjcpontsjumeaux.fr/,https://mjcpontsjumeaux.fr/agenda/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | scrape: pas de spectacle public daté 24/08–23/09
L023,FEP Étienne Billières,Toulouse — FEP Étienne Billières,mjc,,Toulouse,3,https://www.fep-etiennebillieres.fr/,https://www.fep-etiennebillieres.fr/,rien trouvé période 24/08–23/09/2026 (scan site / agenda) | site down/inaccessible ; url_programmation manquante | url_programmation impossible: site FEP inaccessible (SSL/502) au 24/08/2026 | scrape: pas de spectacle public daté 24/08–23/09
