programme_id,event_id,lieu_id,nom_item,type_item,date,heure_debut,heure_fin,scene_salle,prix_item,url,notes,genre,artiste_id,description_item,image_url,billetterie_url,duree_min,public_cible,langue,scraped_at,film_id,form,moods,mood_source,mood_confiance,genres_mood
P1946,E696,L007,Hub centresculturels cookie wall — non scrapable auto.,autre,2026-08-24,,,,,https://centresculturels.toulouse.fr/list/events,Hub centresculturels cookie wall — non scrapable auto.,musique_autre,,,,,,,,,,autre,,pitch,basse,musique_autre|musique
P1947,E697,L010,Hub centresculturels cookie wall — non scrapable auto.,autre,2026-08-24,,,,,https://centresculturels.toulouse.fr/list/events,Hub centresculturels cookie wall — non scrapable auto.,musique_autre,,,,,,,,,,autre,,pitch,basse,musique_autre|musique
P1948,E698,L012,Hub centresculturels cookie wall — non scrapable auto.,autre,2026-08-24,,,,,https://centresculturels.toulouse.fr/list/events,Hub centresculturels cookie wall — non scrapable auto.,musique_autre,,,,,,,,,,autre,,pitch,basse,musique_autre|musique
P1949,E699,L013,Hub centresculturels cookie wall — non scrapable auto.,autre,2026-08-24,,,,,https://centresculturels.toulouse.fr/list/events,Hub centresculturels cookie wall — non scrapable auto.,musique_autre,,,,,,,,,,autre,,pitch,basse,musique_autre|musique
P1933,E683,L020,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://www.mjcroguet.fr/,Agenda = ateliers/festival passé (4/07). Pas de spectacle public daté 24/08–23/09.,jeune_public,,,,,,,,,,enfants,tendre,pitch,haute,famille|jeunesse|festival
P1934,E684,L021,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://centrecultureldesminimes.fr/,Site timeout/indispo au scrape — non récupéré.,jeune_public,,,,,,,,,,enfants,,vide,basse,
P1935,E685,L022,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://mjcpontsjumeaux.fr/agenda/,Agenda vide / ateliers 2026-27 uniquement.,jeune_public,,,,,,,,,,enfants,tendre,pitch,haute,famille|jeunesse
P1936,E686,L023,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://www.fep-etiennebillieres.fr/,Pas de scrape dédié cette passe (site asso).,jeune_public,,,,,,,,,,enfants,,vide,basse,
P1937,E687,L024,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://mjcempalot.fr/,Fermeture 1–23 août ; rentrée ateliers 2026-27 — pas de spectacle daté fenêtre.,jeune_public,,,,,,,,,,enfants,tendre,pitch,haute,famille|jeunesse
P1938,E688,L025,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://mjcpontdesdemoiselles.fr/,Fermeture estivale → 26/08 ; reprise ateliers 14/09 — pas de spectacle public daté.,jeune_public,,,,,,,,,,enfants,tendre,pitch,haute,famille|jeunesse
P1939,E689,L026,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://www.mjccroixdaurade.fr/,Agenda = actus/ateliers ; pas de spectacle daté 24/08–23/09.,jeune_public,,,,,,,,,,enfants,tendre,pitch,haute,famille|jeunesse
P1940,E690,L027,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,https://mjcprevert31.net/,Fermeture août ; ateliers dès 15/09 — pas de spectacle public daté.,jeune_public,,,,,,,,,,enfants,tendre,pitch,haute,famille|jeunesse
P1941,E691,L028,Ateliers / pas de spectacle public daté,autre,2026-08-24,,,,,http://www.mjcancely.fr/,Pas de dates spectacles dans la fenêtre (site asso).,jeune_public,,,,,,,,,,enfants,tendre,pitch,haute,famille|jeunesse
