entity_id,kind,date,ville,lieu_nom,lieu_id,source_url,scope
A0255,live,2026-08-24,Toulouse,Les Jardins de Candie,L092,https://lesjardinsdecandie.com/,toulouse
F0005,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13457,toulouse
F0049,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13765,toulouse
F0107,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13446,toulouse
F0040,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13042,toulouse
F0010,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13449,toulouse
F0257,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=600,toulouse
F0037,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13251,toulouse
F0268,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13774,toulouse
F0002,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13767,toulouse
F0034,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13462,toulouse
F0090,film,2026-08-24,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13456,toulouse
F0037,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13251,toulouse
F0002,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13767,toulouse
F0067,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13760,toulouse
F0108,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=5548,toulouse
F0013,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13459,toulouse
F0035,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13722,toulouse
F0005,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13457,toulouse
F0010,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13449,toulouse
F0209,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=1093,toulouse
F0090,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13456,toulouse
F0049,film,2026-08-24,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13765,toulouse
F0042,film,2026-08-24,Toulouse,Cinéma ABC,L127,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0071&gid_entity=movie.movie._.308394&tags=Showtime.Accessibility.Subtitled,Localization.Version.Original,Showtime.Accessibility.Accessible,Format.Projection.Digital&perfd=20260824&perft=16:20&code=VO; SUBTITLE; DISABLED ACCESS",toulouse
F0075,film,2026-08-24,Toulouse,Cinéma ABC,L127,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0071&gid_entity=movie.movie._.6796&tags=Showtime.Accessibility.Subtitled,Localization.Version.Original,Showtime.Accessibility.Accessible,Format.Projection.Digital&perfd=20260824&perft=16:40&code=VO; SUBTITLE; DISABLED ACCESS",toulouse
F0005,film,2026-08-24,Toulouse,Cinéma ABC,L127,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0071&gid_entity=movie.movie._.188280&tags=Showtime.Accessibility.Subtitled,Localization.Version.Original,Showtime.Accessibility.Accessible,Format.Projection.Digital&perfd=20260824&perft=17:20&code=VO; SUBTITLE; DISABLED ACCESS",toulouse
F0077,film,2026-08-24,Toulouse,Cinéma ABC,L127,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0071&gid_entity=movie.movie._.1000027856&tags=Showtime.Accessibility.Subtitled,Localization.Version.Original,Showtime.Accessibility.Accessible,Format.Projection.Digital&perfd=20260824&perft=18:15&code=VO; SUBTITLE; DISABLED ACCESS",toulouse
F0026,film,2026-08-24,Toulouse,Cinéma ABC,L127,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0071&gid_entity=movie.movie._.1000041528&tags=Localization.Language.French,Showtime.Accessibility.Accessible,Format.Projection.Digital&perfd=20260824&perft=18:50&code=VF; DISABLED ACCESS",toulouse
F0053,film,2026-08-24,Toulouse,Cinéma ABC,L127,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0071&gid_entity=movie.movie._.316460&tags=Showtime.Accessibility.Subtitled,Localization.Version.Original,Showtime.Accessibility.Accessible,Format.Projection.Digital&perfd=20260824&perft=20:40&code=VO; SUBTITLE; DISABLED ACCESS",toulouse
